HJD V-C s1
VarAperture: 10.00 CmpAperture: 14.00 JD: heliocentric
2457846.26316 1.1259 0.0140
2457846.26466 1.1226 0.0129
2457846.26767 1.1383 0.0111
2457846.26917 1.1486 0.0107
2457846.27068 1.1570 0.0103
2457846.27218 1.1537 0.0100
2457846.27369 1.1670 0.0097
2457846.27519 1.1607 0.0097
2457846.27820 1.1607 0.0095
2457846.27971 1.1628 0.0095
2457846.28122 1.1737 0.0095
2457846.28272 1.1803 0.0097
2457846.28423 1.1918 0.0097
2457846.28573 1.1995 0.0097
2457846.28724 1.2053 0.0097
2457846.28875 1.2011 0.0096
2457846.29026 1.2087 0.0098
2457846.29176 1.2153 0.0098
2457846.29328 1.2155 0.0099
2457846.29479 1.2168 0.0099
2457846.29629 1.2348 0.0102
2457846.29780 1.2368 0.0101
2457846.29931 1.2516 0.0103
2457846.30081 1.2524 0.0103
2457846.30232 1.2389 0.0104
2457846.30382 1.2581 0.0104
2457846.30533 1.2477 0.0106
2457846.30684 1.2615 0.0108
2457846.30835 1.2582 0.0106
2457846.30985 1.2595 0.0107
2457846.31136 1.2523 0.0106
2457846.31287 1.2667 0.0107
2457846.31437 1.2563 0.0108
2457846.31587 1.2649 0.0109
2457846.31737 1.2834 0.0110
2457846.31888 1.2642 0.0111
2457846.32038 1.2577 0.0111
2457846.32189 1.2689 0.0111
2457846.32339 1.2686 0.0112
2457846.32490 1.2568 0.0112
2457846.32641 1.2547 0.0112
2457846.32791 1.2468 0.0111
2457846.32941 1.2365 0.0112
2457846.33092 1.2453 0.0113
2457846.33242 1.2392 0.0113
2457846.33392 1.2328 0.0112
2457846.33543 1.2466 0.0114
2457846.33693 1.2278 0.0114
2457846.33843 1.2194 0.0114
2457846.33994 1.2229 0.0115
2457846.34144 1.2058 0.0115
2457846.34294 1.2071 0.0116
2457846.34445 1.2115 0.0117
2457846.34595 1.1999 0.0118
2457846.34746 1.2179 0.0120
2457846.34896 1.1951 0.0119
2457846.35046 1.2054 0.0120
2457846.35197 1.1734 0.0120
2457846.35347 1.2017 0.0123
2457846.35498 1.1869 0.0125
2457846.35648 1.2004 0.0126
2457846.35799 1.1913 0.0126
2457846.35949 1.1639 0.0124
2457846.36100 1.1471 0.0124
2457846.36250 1.1557 0.0124
2457846.36401 1.1698 0.0125
2457846.36551 1.1593 0.0125
2457846.36702 1.1348 0.0125
2457846.36852 1.1303 0.0127
2457846.37003 1.1447 0.0129
2457846.37153 1.1449 0.0134
2457846.37304 1.1333 0.0135
2457846.37455 1.1334 0.0135
2457846.37605 1.1213 0.0134
2457846.37755 1.1408 0.0134
2457846.37906 1.1314 0.0134
2457846.38057 1.1282 0.0136
2457846.38207 1.1197 0.0139
